respondent_id,year,age,province,income,savings_pct,benefits_preference,paycheque_delay_difficulty,debt_overwhelmed,emergency_fund_likelihood,financial_wellness_cluster
2022-0001,2022,38,Ontario,87200,5.2,Higher wages,Very manageable,Yes,Manageable,Coping
2022-0002,2022,35,British Columbia,210100,9.1,Work-life balance,Very manageable,Yes,Somewhat difficult,Coping
2022-0003,2022,23,Ontario,45100,15.5,Work-life balance,Somewhat difficult,Yes,Somewhat difficult,Coping
2022-0004,2022,32,Manitoba,94200,7.6,Work-life balance,Very manageable,Yes,Difficult,Coping
2022-0005,2022,35,Alberta,224000,6.4,Health benefits,Very difficult,Yes,Somewhat manageable,Stressed
2022-0006,2022,41,Ontario,101200,13.4,Higher wages,Very manageable,Yes,Difficult,Coping
2022-0007,2022,47,Alberta,97100,13.3,Work-life balance,Manageable,No,Neither,Coping
2022-0008,2022,37,Ontario,36200,12.5,Better retirement funding,Somewhat difficult,No,Somewhat difficult,Coping
2022-0009,2022,37,Alberta,161900,7.1,Higher wages,Neither,No,Very manageable,Coping
2022-0010,2022,19,New Brunswick,30000,3.2,Work-life balance,Neither,No,Somewhat difficult,Stressed
2022-0011,2022,46,Ontario,120400,10.1,Work-life balance,Somewhat manageable,No,Somewhat manageable,Comfortable
2022-0012,2022,32,Alberta,54300,1.6,Work-life balance,Neither,No,Manageable,Coping
2022-0013,2022,49,Ontario,94000,5.4,Work-life balance,Somewhat difficult,No,Manageable,Stressed
2022-0014,2022,56,Ontario,42800,15.9,NA,Difficult,No,Neither,Coping
2022-0015,2022,38,Quebec,154200,2.7,More time off,Difficult,Yes,Somewhat manageable,Coping
2022-0016,2022,28,Alberta,58100,12.6,Work-life balance,Somewhat difficult,Yes,Neither,Coping
2022-0017,2022,40,Ontario,30000,9.9,Work-life balance,Neither,No,Somewhat difficult,Stressed
2022-0018,2022,44,Nova Scotia,158600,0.0,Work-life balance,Difficult,Yes,Very difficult,Stressed
2022-0019,2022,36,New Brunswick,58800,4.6,Better retirement funding,Somewhat difficult,Yes,Neither,Stressed
2022-0020,2022,33,Manitoba,96200,14.2,Higher wages,Difficult,Yes,Neither,Stressed
2022-0021,2022,47,Manitoba,142600,8.8,More time off,Difficult,No,Very difficult,Stressed
2022-0022,2022,46,Ontario,122700,4.9,Work-life balance,Manageable,No,Somewhat difficult,Comfortable
2022-0023,2022,36,Alberta,30000,15.0,More time off,Difficult,No,Somewhat manageable,Coping
2022-0024,2022,20,New Brunswick,94800,6.5,Work-life balance,Somewhat manageable,No,Difficult,Coping
2022-0025,2022,45,Ontario,92500,15.1,Work-life balance,Neither,No,Somewhat manageable,Coping
2022-0026,2022,31,Ontario,60000,6.9,Health benefits,Somewhat manageable,Yes,Somewhat manageable,Coping
2022-0027,2022,43,Alberta,89000,5.7,Work-life balance,Difficult,No,Difficult,Stressed
2022-0028,2022,42,Manitoba,30000,3.3,More time off,Neither,Yes,Difficult,Stressed
2022-0029,2022,18,Northwest Territories and Nunavut,66600,6.0,Health benefits,Very difficult,No,Somewhat difficult,Stressed
2022-0030,2022,41,Ontario,30000,7.6,More time off,Manageable,No,Somewhat difficult,Coping
2022-0031,2022,46,Quebec,84700,9.7,More time off,Somewhat difficult,No,Neither,Coping
2022-0032,2022,48,Ontario,109800,3.9,Work-life balance,Very difficult,No,Somewhat manageable,Coping
2022-0033,2022,41,Ontario,145200,13.9,Higher wages,Neither,No,Manageable,Coping
2022-0034,2022,18,Alberta,30000,19.2,Better retirement funding,Somewhat manageable,No,Very difficult,Comfortable
2022-0035,2022,55,Saskatchewan,185100,1.3,Health benefits,Neither,No,Somewhat manageable,Coping
2022-0036,2022,45,British Columbia,144800,17.0,Work-life balance,Manageable,No,Somewhat difficult,Coping
2022-0037,2022,26,British Columbia,47500,9.9,Work-life balance,Somewhat manageable,No,Manageable,Coping
2022-0038,2022,31,British Columbia,30000,12.0,Health benefits,Somewhat manageable,Yes,Difficult,Coping
2022-0039,2022,43,Alberta,30000,15.6,Work-life balance,Very manageable,Yes,Neither,Coping
2022-0040,2022,48,Ontario,115600,13.0,Educational funding,Neither,Yes,Neither,Coping
2022-0041,2022,34,British Columbia,44100,11.8,Health benefits,Very difficult,No,Difficult,Stressed
2022-0042,2022,50,British Columbia,165000,9.2,Health benefits,Manageable,No,Very manageable,Coping
2022-0043,2022,18,Alberta,30000,25.2,Work-life balance,Somewhat manageable,No,Difficult,Comfortable
2022-0044,2022,27,Saskatchewan,30000,11.7,Work-life balance,Somewhat difficult,Yes,Difficult,Coping
2022-0045,2022,18,Ontario,68700,21.6,Better retirement funding,Somewhat difficult,No,Manageable,Comfortable
2022-0046,2022,29,Quebec,39200,13.4,Work-life balance,Somewhat difficult,Yes,Neither,Coping
2022-0047,2022,58,Ontario,117400,18.4,More time off,Somewhat difficult,No,Somewhat difficult,Coping
2022-0048,2022,65,Quebec,176800,15.3,Work-life balance,Somewhat difficult,No,Somewhat difficult,Coping
2022-0049,2022,43,Ontario,100400,8.3,Work-life balance,Neither,No,Difficult,Coping
2022-0050,2022,32,Alberta,84000,13.5,Work-life balance,Very manageable,No,Very manageable,Comfortable
2022-0051,2022,37,British Columbia,95800,5.8,Educational funding,Somewhat manageable,No,Somewhat difficult,Stressed
2022-0052,2022,46,British Columbia,30000,6.4,Health benefits,Difficult,No,Somewhat difficult,Coping
2022-0053,2022,21,Ontario,81100,4.7,Work-life balance,Somewhat difficult,Yes,Somewhat difficult,Coping
2022-0054,2022,33,Alberta,87500,3.1,Work-life balance,Manageable,No,Very manageable,Comfortable
2022-0055,2022,57,Alberta,160100,1.7,Health benefits,Difficult,Yes,Manageable,Coping
2022-0056,2022,27,Ontario,100800,30.0,Work-life balance,Somewhat manageable,No,Difficult,Comfortable
2022-0057,2022,31,Alberta,66400,13.4,Work-life balance,Manageable,No,Manageable,Comfortable
2022-0058,2022,40,Alberta,141600,22.4,Work-life balance,Somewhat manageable,No,Difficult,Coping
2022-0059,2022,43,Alberta,79900,20.8,Work-life balance,Neither,No,Somewhat difficult,Comfortable
2022-0060,2022,32,Ontario,90400,17.7,Educational funding,Manageable,No,Very manageable,Comfortable
2022-0061,2022,41,Alberta,75900,0.0,Work-life balance,Somewhat difficult,No,Somewhat manageable,Stressed
2022-0062,2022,47,Alberta,123600,11.0,NA,Manageable,No,Difficult,Coping
2022-0063,2022,64,British Columbia,107200,15.5,Better retirement funding,Difficult,No,Somewhat manageable,Stressed
2022-0064,2022,38,Ontario,169400,20.3,Health benefits,Somewhat manageable,Yes,Somewhat manageable,Coping
2022-0065,2022,40,British Columbia,190900,7.4,Work-life balance,Neither,No,Neither,Stressed
2022-0066,2022,58,Alberta,160700,4.1,Health benefits,Somewhat difficult,No,Somewhat manageable,Coping
2022-0067,2022,33,Quebec,156600,5.3,Better retirement funding,Somewhat manageable,Yes,Neither,Coping
2022-0068,2022,24,Quebec,30000,5.9,Health benefits,Somewhat manageable,Yes,Very manageable,Coping
2022-0069,2022,43,Alberta,30000,12.4,Health benefits,Difficult,No,Difficult,Stressed
2022-0070,2022,53,British Columbia,93400,20.8,Better retirement funding,Neither,No,Neither,Coping
2022-0071,2022,44,Alberta,98100,12.2,Work-life balance,Neither,No,Somewhat difficult,Coping
2022-0072,2022,39,Ontario,78600,9.2,Work-life balance,Somewhat manageable,No,Manageable,Coping
2022-0073,2022,23,British Columbia,30000,20.3,Work-life balance,Very difficult,No,Difficult,Coping
2022-0074,2022,39,Quebec,146100,1.1,Better retirement funding,Somewhat difficult,No,Somewhat difficult,Stressed
2022-0075,2022,55,Ontario,220200,11.3,Health benefits,Somewhat difficult,Yes,Somewhat manageable,Coping
2022-0076,2022,25,Ontario,131500,21.2,Health benefits,Manageable,No,Neither,Comfortable
2022-0077,2022,37,Alberta,139800,1.7,Work-life balance,Somewhat difficult,No,Difficult,Stressed
2022-0078,2022,35,Quebec,93800,7.2,NA,Neither,No,Somewhat difficult,Coping
2022-0079,2022,32,Ontario,35900,2.4,Higher wages,Somewhat difficult,No,Neither,Stressed
2022-0080,2022,43,Ontario,98100,19.5,NA,Somewhat difficult,No,Somewhat difficult,Coping
2022-0081,2022,45,Alberta,202800,15.6,Better retirement funding,Difficult,No,Somewhat difficult,Stressed
2022-0082,2022,45,Ontario,79900,11.7,Health benefits,Somewhat manageable,No,Neither,Coping
2022-0083,2022,28,Ontario,49300,9.4,Work-life balance,Difficult,Yes,Very manageable,Coping
2022-0084,2022,20,Saskatchewan,115400,3.0,Higher wages,Neither,No,Neither,Stressed
2022-0085,2022,43,Ontario,153200,11.0,Work-life balance,Somewhat manageable,Yes,Difficult,Coping
2022-0086,2022,34,Ontario,38600,7.7,Health benefits,Manageable,No,Manageable,Coping
2022-0087,2022,62,New Brunswick,109900,10.4,Work-life balance,Somewhat difficult,Yes,Manageable,Coping
2022-0088,2022,63,Ontario,99400,20.9,Better retirement funding,Manageable,No,Manageable,Comfortable
2022-0089,2022,64,Quebec,129500,8.6,Better retirement funding,Very difficult,No,Neither,Coping
2022-0090,2022,29,Ontario,128700,16.7,Higher wages,Very manageable,Yes,Difficult,Comfortable
2022-0091,2022,47,British Columbia,60300,9.9,NA,Somewhat manageable,No,Somewhat manageable,Coping
2022-0092,2022,50,Alberta,159500,4.4,Higher wages,Somewhat difficult,No,Somewhat difficult,Stressed
2022-0093,2022,49,Ontario,108600,3.8,Work-life balance,Neither,Yes,Difficult,Stressed
2022-0094,2022,36,Prince Edward Island,200300,15.6,Better retirement funding,Somewhat difficult,No,Very difficult,Coping
2022-0095,2022,55,Alberta,128400,0.4,Better retirement funding,Somewhat manageable,No,Somewhat difficult,Coping
2022-0096,2022,40,Manitoba,85200,29.0,Better retirement funding,Very manageable,No,Somewhat manageable,Comfortable
2022-0097,2022,42,Saskatchewan,121700,11.8,Work-life balance,Difficult,No,Difficult,Coping
2022-0098,2022,22,Ontario,46100,14.7,Health benefits,Very manageable,Yes,Somewhat manageable,Coping
2022-0099,2022,48,British Columbia,30000,15.4,Health benefits,Manageable,No,Somewhat manageable,Coping
2022-0100,2022,37,British Columbia,73500,6.8,Work-life balance,Very manageable,No,Somewhat difficult,Coping
2022-0101,2022,46,Manitoba,86200,5.5,Work-life balance,Manageable,No,Difficult,Coping
2022-0102,2022,43,Alberta,30000,0.8,Higher wages,Difficult,Yes,Difficult,Stressed
2022-0103,2022,42,Ontario,89300,4.8,Better retirement funding,Somewhat difficult,Yes,Difficult,Stressed
2022-0104,2022,39,Ontario,30000,15.2,Higher wages,Difficult,No,Somewhat manageable,Coping
2022-0105,2022,49,Ontario,86100,3.1,Work-life balance,Neither,Yes,Neither,Stressed
