respondent_id,year,age,province,income,savings_pct,benefit_retirement,benefit_education,benefit_health,benefit_wages,benefit_timeoff,benefit_worklife,paycheque_delay_difficulty,debt_overwhelmed,emergency_fund_likelihood,financial_wellness_cluster
2017-0001,2017,31,Alberta,"78,300",21.6,No,No,No,no,Yes,No,Manageable,No,Somewhat difficult,Comfortable
2017-0002,2017,51,Newfoundland and Labrador,149500,21.8,No,yes,No,No,No,No,Somewhat difficult,NA,Neither,Coping
2017-0003,2017,40,Manitoba,"$97,700",8.2,No,No,Yes,No,No,no,Somewhat manageable,no,Somewhat difficult,Comfortable
2017-0004,2017,37,ontario ,"$102,300",13.7,no,No,No,Yes,N,No,Somewhat difficult,No,Very manageable,Coping
2017-0005,2017,39,British Columbia,"118,600",7.8,No,No,yes,No,No,No,Somewhat manageable,No,Somewhat difficult,Stressed
2017-0006,2017,43,AB,"54,400",16.9,No,No,Y,No,No,No,Somewhat difficult,N,Manageable,Comfortable
2017-0007,2017,47,Ontario,118100,30.0,No,No,No,Yes,No,No,Difficult,N,Neither,Comfortable
2017-0008,2017,28,Manitoba,58K,21.5,N,No,No,Yes,No,No,Somewhat manageable,No,Somewhat manageable,Comfortable
2017-0009,2017,28,Ontario,30000,6.0,NA,NA,NA,NA,NA,NA,Neither,No,Very manageable,Stressed
2017-0010,2017,53,Alberta,"$40,700",14.2,Yes,no,No,No,No,N,Somewhat manageable,N,Neither,Coping
2017-0011,2017,35,Alberta,47K,2.0,No,No,No,Y,No,No,Somewhat manageable,Yes,Very difficult,Coping
2017-0012,2017,23,British Columbia,"$75,400",16.7,No,Yes,N,N,no,No,Manageable,no,Neither,Comfortable
2017-0013,2017,45,Nova Scotia,NA,19.9,No,No,Yes,N,No,No,Difficult,Yes,Very manageable,Coping
2017-0014,2017,46,Manitoba,100K,17.6,No,No,no,No,No,Yes,Very manageable,N,Very manageable,Comfortable
2017-0016,2017,43,Manitoba,"$51,400",NA,N,No,N,No,Y,No,Very difficult,No,Neither,Stressed
2017-0017,2017,49,Ontario,"97,700",22.0,No,N,No,Yes,No,No,Somewhat manageable,No,Difficult,Coping
2017-0018,2017,44,ON,"100,100",10.6,Yes,No,No,No,No,No,Very difficult,Yes,Neither,Stressed
2017-0019,2017,48,Alberta,75K,18.8,No,No,No,No,no,Yes,Neither,No,Somewhat difficult,Comfortable
2017-0020,2017,23,Ontario,"$60,300",12.6,no,No,N,yes,no,No,Manageable,No,Manageable,Coping
2017-0021,2017,44,british columbia,43000,16.4,No,No,No,No,No,Y,Manageable,No,Very manageable,Comfortable
2017-0022,2017,36,New Brunswick,121300,8.0,No,No,No,Yes,No,No,Somewhat difficult,N,Somewhat difficult,Coping
2017-0023,2017,34,Alberta,55600,14.7,no,no,No,N,No,Yes,Manageable,No,Somewhat manageable,Comfortable
2017-0024,2017,50,Ontario,161K,17.7,Yes,No,No,No,No,no,Very manageable,N,Somewhat difficult,Comfortable
2017-0025,2017,58,Saskatchewan,"111,000",NA,No,No,yes,No,No,No,Somewhat difficult,No,Somewhat manageable,Comfortable
2017-0026,2017,62,Alberta,"$148,800",0.2,No,no,No,no,Yes,no,Difficult,No,Very difficult,Stressed
2017-0027,2017,56,Ontario,"107,400",15.3,No,Y,No,no,No,No,Somewhat manageable,No,NA,Coping
2017-0028,2017,39,Ontario,"82,600",9.2,no,No,Y,No,No,No,Somewhat difficult,no,Very manageable,Stressed
2017-0029,2017,44,British Columbia,73500,16.5,NA,NA,NA,NA,NA,NA,Manageable,No,Very difficult,Stressed
2017-0030,2017,49,Ontario,"102,100",10.0,No,No,N,No,Yes,No,NA,No,Manageable,Coping
2017-0031,2017,41,Ontario,96000,15.8,No,No,No,No,No,Yes,Difficult,N,Difficult,Coping
2017-0032,2017,42,Quebec,64K,24.2,No,No,N,No,yes,N,Manageable,No,Somewhat manageable,Comfortable
2017-0033,2017,50,Saskatchewan,96200,12.5,No,No,No,No,No,Yes,Somewhat manageable,Yes,Neither,Coping
2017-0034,2017,39,Alberta,65200,18.5,No,no,No,No,No,Yes,Somewhat difficult,Yes,Very manageable,Coping
2017-0035,2017,31,Nova Scotia,140500,18.7,No,No,N,N,Yes,No,Somewhat manageable,N,Somewhat difficult,Coping
2017-0036,2017,35,Ontario,"$74,800",9.6,No,No,Yes,No,No,no,Difficult,Yes,Difficult,Stressed
2017-0037,2017,48,Alberta,143K,6.7,Yes,No,N,No,N,No,Neither,No,Neither,Stressed
2017-0038,2017,40,BC,"$79,100",11.9,no,N,No,No,Yes,No,Manageable,Yes,Somewhat manageable,Coping
2017-0039,2017,44,Yukon,98800,1.2,no,no,No,No,No,Yes,Somewhat difficult,Yes,Neither,Stressed
2017-0040,2017,48,Alberta,57400,9.2,No,no,N,Yes,No,No,Very manageable,Yes,Very difficult,Coping
2017-0041,2017,36,Nova Scotia,"$65,600",10.3,no,Yes,no,no,No,No,Very manageable,No,Somewhat difficult,Coping
2017-0042,2017,49,Ontario,"104,800",14.1,N,No,Yes,no,No,No,Neither,No,Very manageable,Comfortable
2017-0043,2017,45,British Columbia,"$140,100",16.6,N,No,No,Yes,No,No,Neither,No,Somewhat manageable,Coping
2017-0044,2017,25,Ontario,"69,200",21.2,No,No,No,No,No,Yes,Somewhat manageable,Yes,Somewhat manageable,Coping
2017-0045,2017,57,Saskatchewan,"152,000",15.6,Yes,No,N,No,N,No,Neither,No,Neither,Comfortable
2017-0046,2017,34,Ontario,95200,24.0,No,No,No,No,Yes,No,Manageable,N,Neither,Comfortable
2017-0047,2017,20,Alberta,"$103,800",NA,No,No,No,No,No,Yes,Neither,No,Very manageable,Coping
2017-0048,2017,27,Alberta,63700,6.5,no,No,No,No,No,Yes,Manageable,No,Neither,Stressed
2017-0049,2017,28,Saskatchewan,"$138,700",9.9,Y,No,no,N,No,No,Neither,No,Difficult,Coping
2017-0050,2017,41,BC,"71,900",11.0,No,No,No,No,No,yes,Neither,No,Manageable,Stressed
2017-0051,2017,37,ON,"57,500",4.6,no,No,No,No,Yes,No,Somewhat difficult,No,Neither,Stressed
2017-0052,2017,36,Alberta,42700,13.1,No,No,No,No,No,Y,Difficult,No,Somewhat difficult,Stressed
2017-0053,2017,47,New Brunswick,"165,400",20.3,Y,no,No,No,No,No,Very manageable,No,Somewhat manageable,Comfortable
2017-0054,2017,44,quebec,"115,600",10.1,N,No,No,Yes,No,no,Very difficult,N,Somewhat manageable,Coping
2017-0055,2017,44,Ontario,"$81,000",6.5,No,no,No,No,Yes,no,Difficult,No,Neither,Coping
2017-0056,2017,45,Saskatchewan,130000,23.8,No,No,Yes,No,No,No,Manageable,Yes,Manageable,Comfortable
2017-0057,2017,47,BC,116K,19.4,No,No,No,yes,No,No,Somewhat manageable,No,Somewhat manageable,Coping
2017-0058,2017,18,Ontario,"$111,000",15.6,No,No,N,N,Yes,No,Neither,No,Somewhat difficult,Coping
2017-0059,2017,36,ON,32600,19.2,No,No,N,No,Yes,N,Very difficult,Yes,Manageable,Stressed
2017-0060,2017,18,Nova Scotia,"$44,000",15.1,Yes,No,No,No,No,No,Difficult,no,Somewhat difficult,Stressed
2017-0061,2017,40,British Columbia,"71,100",12.2,No,N,No,yes,No,N,Somewhat difficult,No,Neither,Coping
2017-0062,2017,40,ON,30000,12.1,N,Yes,No,No,no,No,Very difficult,No,Somewhat manageable,Coping
2017-0063,2017,53,Manitoba,"$136,300",16.8,no,No,No,No,No,yes,Somewhat manageable,No,Somewhat manageable,Coping
2017-0064,2017,54,Ontario,98K,16.1,NA,NA,NA,NA,NA,NA,Neither,No,Somewhat manageable,Comfortable
2017-0065,2017,42,Saskatchewan,"$110,200",21.0,No,no,Y,no,No,No,Neither,No,Somewhat manageable,Coping
