Financial Wellness Survey Export -- Platform v2 -- Generated 2022
respondent_id,year,age,province,income,savings_pct,benefit_retirement,benefit_health,benefit_wages,benefit_timeoff,benefit_worklife,twoweek_pay_delay_impact,debt_overwhelmed,emergency_fund_likelihood,financial_wellness_cluster
2022-0001,2022,30-40,Ontario,87200,5.2,N,No,Y,N,No,Very manageable,Y,Manageable,Coping
2022-0002,2022,30-40,British Columbia,210K,9.1,No,No,No,no,Yes,Very manageable,Yes,Difficult,Coping
2022-0003,2022,18-30,Ontario,45100,15.5,No,No,N,no,Yes,Somewhat difficult,NA,Difficult,Coping
2022-0004,2022,30-40,Manitoba,"$94,200",7.6,No,No,no,no,Yes,Very manageable,Yes,Difficult,Coping
2022-0005,2022,30-40,Alberta,224000,6.4,No,No,Yes,No,no,Very difficult,NA,Manageable,Stressed
2022-0006,2022,40-50,Ontario,101200,13.4,No,No,N,Yes,No,Very manageable,Yes,Difficult,Coping
2022-0007,2022,40-50,Alberta,97K,13.3,No,No,No,N,Yes,Manageable,No,Neither,Coping
2022-0008,2022,30-40,Ontario,"$36,200",12.5,Yes,No,No,N,No,Somewhat difficult,No,Difficult,Coping
2022-0009,2022,30-40,Alberta,161900,7.1,No,N,No,yes,No,Neither,No,Very manageable,Coping
2022-0010,2022,18-30,New Brunswick,"$30,000",3.2,No,No,No,No,Yes,Neither,No,Difficult,Stressed
2022-0011,2022,40-50,Ontario,"$120,400",10.1,No,No,no,No,Yes,Somewhat manageable,No,Manageable,Comfortable
2022-0012,2022,30-40,Alberta,"54,300",1.6,N,No,No,No,Yes,Neither,No,Manageable,Coping
2022-0013,2022,40-50,Ontario,94K,5.4,No,N,N,No,Yes,Somewhat difficult,No,Manageable,Stressed
2022-0014,2022,50-65,Ontario,"42,800",15.9,NA,NA,NA,NA,NA,Difficult,No,Neither,Coping
2022-0015,2022,30-40,Quebec,"$154,200",2.7,N,No,No,Yes,N,Difficult,Yes,Manageable,Coping
2022-0016,2022,18-30,Alberta,"58,100",12.6,N,no,No,No,Yes,Somewhat difficult,Yes,Neither,Coping
2022-0017,2022,30-40,Ontario,"$30,000",9.9,No,no,N,No,Yes,Neither,No,Difficult,Stressed
2022-0018,2022,40-50,Nova Scotia,"158,600",0.0,no,No,No,No,yes,Difficult,Yes,Very difficult,Stressed
2022-0019,2022,30-40,New Brunswick,58800,4.6,Yes,No,No,No,N,Somewhat difficult,Yes,Neither,Stressed
2022-0020,2022,30-40,Manitoba,96200,14.2,N,No,Yes,N,No,Difficult,Yes,Neither,Stressed
2022-0021,2022,40-50,Manitoba,"$142,600",8.8,No,No,No,No,yes,Difficult,no,Very difficult,Stressed
2022-0022,2022,40-50,ON,"$122,700",4.9,No,No,No,No,Yes,Manageable,N,Difficult,Comfortable
2022-0023,2022,30-40,Alberta,"30,000",15.0,No,No,N,No,Yes,Difficult,No,Manageable,Coping
2022-0024,2022,18-30,New Brunswick,94800,6.5,No,No,N,no,Yes,Somewhat manageable,N,Difficult,Coping
2022-0025,2022,40-50,Ontario,92500,15.1,No,No,No,No,Yes,Neither,No,Manageable,Coping
2022-0026,2022,30-40,Ontario,"$60,000",6.9,no,Yes,No,no,N,Somewhat manageable,Yes,Manageable,Coping
2022-0027,2022,40-50,Alberta,"89,000",5.7,No,no,no,No,Yes,NA,No,Difficult,Stressed
2022-0028,2022,40-50,Manitoba,"30,000",3.3,No,No,N,No,Yes,Neither,Yes,Difficult,Stressed
2022-0029,2022,18-30,Northwest Territories and Nunavut,"$66,600",6.0,No,Yes,No,N,No,Very difficult,No,Difficult,Stressed
2022-0030,2022,40-50,ON,"$30,000",7.6,No,No,No,yes,No,Manageable,NA,Difficult,Coping
2022-0031,2022,40-50,Quebec,"$84,700",9.7,No,No,No,No,yes,Somewhat difficult,No,Neither,Coping
2022-0032,2022,40-50,Ontario,NA,3.9,No,No,no,N,Yes,Very difficult,No,Manageable,Coping
2022-0033,2022,40-50,Ontario,145200,13.9,No,No,No,Yes,no,Neither,no,Manageable,Coping
2022-0034,2022,18-30,alberta,30000,19.2,Yes,No,No,No,N,Somewhat manageable,N,Very difficult,Comfortable
2022-0035,2022,50-65,Saskatchewan,185K,1.3,No,yes,No,No,No,Neither,No,Manageable,Coping
2022-0036,2022,40-50,British Columbia,144800,17.0,No,no,No,no,Yes,Manageable,No,Difficult,Coping
2022-0037,2022,18-30,British Columbia,47500,9.9,No,No,No,N,Yes,Somewhat manageable,No,Manageable,Coping
2022-0038,2022,30-40,British Columbia,"30,000",12.0,No,N,Yes,No,No,Somewhat manageable,Yes,Difficult,Coping
2022-0039,2022,40-50,Alberta,"$30,000",15.6,No,N,No,no,Y,Very manageable,Yes,Neither,Coping
2022-0040,2022,40-50,Ontario,"115,600",13.0,No,Yes,N,No,No,Neither,Yes,Neither,Coping
2022-0041,2022,30-40,british columbia,"$44,100",11.8,No,N,Yes,No,No,NA,No,Difficult,Stressed
2022-0042,2022,40-50,British Columbia,"$165,000",9.2,No,Yes,No,No,No,Manageable,No,Very manageable,Coping
2022-0043,2022,18-30,Alberta,30K,25.2,No,No,No,No,Yes,Somewhat manageable,No,Difficult,Comfortable
2022-0044,2022,18-30,Saskatchewan,"30,000",11.7,No,No,no,N,Yes,Somewhat difficult,Yes,Difficult,Coping
2022-0045,2022,18-30,Ontario,"68,700",21.6,Y,No,No,No,No,Somewhat difficult,No,Manageable,Comfortable
2022-0046,2022,18-30,Quebec,39200,13.4,No,no,No,No,Yes,Somewhat difficult,Yes,Neither,Coping
2022-0048,2022,50-65,Quebec,176800,15.3,No,N,No,No,Y,Somewhat difficult,No,Difficult,Coping
2022-0049,2022,40-50,Ontario,100400,8.3,No,No,No,No,Yes,Neither,No,Difficult,Coping
2022-0050,2022,30-40,Alberta,NA,13.5,No,no,No,N,Yes,Very manageable,No,Very manageable,Comfortable
2022-0051,2022,30-40,BC,96K,5.8,No,Yes,No,No,No,Somewhat manageable,NA,Difficult,Stressed
2022-0052,2022,40-50,British Columbia,30000,6.4,No,no,Yes,No,N,Difficult,No,Difficult,Coping
2022-0053,2022,18-30,Ontario,81K,4.7,NA,NA,NA,NA,NA,Somewhat difficult,Yes,Difficult,Coping
2022-0054,2022,30-40,Alberta,87500,3.1,no,no,No,N,Yes,Manageable,NA,Very manageable,Comfortable
2022-0055,2022,50-65,alberta,"$160,100",1.7,No,No,yes,No,No,Difficult,Yes,Manageable,Coping
2022-0056,2022,18-30,Ontario,100800,30.0,N,No,No,No,Yes,Somewhat manageable,No,Difficult,Comfortable
2022-0057,2022,30-40,Alberta,"$66,400",13.4,No,No,No,No,Yes,Manageable,N,Manageable,Comfortable
2022-0058,2022,30-40,Alberta,141600,22.4,N,N,No,No,Yes,Somewhat manageable,No,Difficult,Coping
2022-0059,2022,40-50,Alberta,79900,20.8,N,No,No,N,Yes,Neither,No,Difficult,Comfortable
2022-0060,2022,30-40,Ontario,"$90,400",17.7,Yes,N,No,No,No,Manageable,No,Very manageable,Comfortable
2022-0061,2022,40-50,Alberta,"$75,900",0.0,NA,NA,NA,NA,NA,Somewhat difficult,No,Manageable,Stressed
2022-0062,2022,40-50,Alberta,"123,600",11.0,NA,NA,NA,NA,NA,Manageable,N,Difficult,Coping
2022-0063,2022,50-65,British Columbia,107200,15.5,Yes,No,N,No,No,Difficult,No,Manageable,Stressed
2022-0064,2022,30-40,Ontario,"169,400",20.3,No,Yes,N,No,No,Somewhat manageable,Yes,Manageable,Coping
2022-0065,2022,30-40,British Columbia,190900,7.4,No,No,No,No,Yes,Neither,No,Neither,Stressed
2022-0066,2022,50-65,Alberta,161K,4.1,No,N,Y,No,N,Somewhat difficult,No,Manageable,Coping
2022-0067,2022,30-40,Quebec,156600,5.3,Y,No,No,No,No,Somewhat manageable,Yes,Neither,Coping
2022-0068,2022,18-30,Quebec,"30,000",5.9,No,Yes,No,No,N,Somewhat manageable,Yes,Very manageable,Coping
2022-0069,2022,40-50,Alberta,30000,12.4,no,No,Y,No,No,Difficult,No,Difficult,Stressed
2022-0070,2022,50-65,British Columbia,"$93,400",20.8,Yes,No,No,No,No,NA,No,Neither,Coping
2022-0071,2022,40-50,Alberta,98K,12.2,No,No,No,no,Yes,Neither,No,Difficult,Coping
2022-0072,2022,30-40,ontario ,78600,9.2,No,No,No,No,Yes,Somewhat manageable,No,Manageable,Coping
2022-0073,2022,18-30,British Columbia,30000,20.3,No,No,No,No,Y,Very difficult,no,Difficult,Coping
2022-0074,2022,30-40,Quebec,"146,100",1.1,Yes,No,No,No,No,Somewhat difficult,No,Difficult,Stressed
2022-0075,2022,50-65,ontario ,"$220,200",11.3,No,Y,No,No,No,Somewhat difficult,Y,Manageable,Coping
2022-0076,2022,18-30,Ontario,131500,21.2,No,No,yes,No,No,Manageable,No,Neither,Comfortable
2022-0077,2022,30-40,Alberta,139800,1.7,No,No,No,No,Yes,Somewhat difficult,No,Difficult,Stressed
2022-0078,2022,30-40,Quebec,93800,7.2,NA,NA,NA,NA,NA,Neither,No,Difficult,Coping
2022-0079,2022,30-40,Ontario,35900,2.4,No,no,no,yes,N,Somewhat difficult,N,Neither,Stressed
2022-0080,2022,40-50,Ontario,98100,19.5,NA,NA,NA,NA,NA,NA,no,Difficult,Coping
2022-0081,2022,40-50,Alberta,202800,15.6,Yes,No,no,no,no,Difficult,No,Difficult,Stressed
2022-0082,2022,40-50,Ontario,"$79,900",11.7,NA,NA,NA,NA,NA,Somewhat manageable,no,Neither,Coping
2022-0083,2022,18-30,Ontario,49300,9.4,No,No,N,No,Yes,Difficult,Yes,Very manageable,Coping
2022-0085,2022,40-50,Ontario,"$153,200",11.0,No,no,No,No,Yes,Somewhat manageable,Yes,Difficult,Coping
2022-0086,2022,30-40,Ontario,"38,600",7.7,no,Y,No,No,No,Manageable,No,Manageable,Coping
2022-0087,2022,50-65,New Brunswick,109900,10.4,No,no,No,No,Yes,Somewhat difficult,Yes,Manageable,Coping
2022-0088,2022,50-65,Ontario,"99,400",20.9,Yes,no,no,No,no,Manageable,No,Manageable,Comfortable
2022-0089,2022,50-65,Quebec,129500,8.6,Yes,No,No,No,No,Very difficult,No,Neither,Coping
2022-0090,2022,18-30,Ontario,"$128,700",16.7,No,No,N,Yes,No,Very manageable,Yes,Difficult,Comfortable
2022-0091,2022,40-50,British Columbia,"60,300",9.9,NA,NA,NA,NA,NA,Somewhat manageable,No,Manageable,Coping
2022-0092,2022,40-50,Alberta,"$159,500",4.4,no,No,Y,N,N,Somewhat difficult,no,Difficult,Stressed
2022-0093,2022,40-50,Ontario,108600,3.8,No,No,N,N,Yes,NA,Yes,Difficult,Stressed
2022-0094,2022,30-40,Prince Edward Island,200300,15.6,Yes,No,No,No,no,Somewhat difficult,No,Very difficult,Coping
2022-0095,2022,50-65,alberta,128400,NA,yes,No,N,No,No,Somewhat manageable,no,Difficult,Coping
2022-0096,2022,30-40,Manitoba,"85,200",29.0,yes,N,N,No,No,Very manageable,No,Manageable,Comfortable
2022-0097,2022,40-50,Saskatchewan,"$121,700",11.8,No,No,No,No,Y,Difficult,No,Difficult,Coping
2022-0098,2022,18-30,Ontario,46100,14.7,No,Yes,N,No,No,Very manageable,Yes,Manageable,Coping
2022-0099,2022,40-50,British Columbia,30000,15.4,No,No,Yes,No,No,Manageable,No,Manageable,Coping
2022-0100,2022,30-40,British Columbia,73500,6.8,NA,NA,NA,NA,NA,Very manageable,No,Difficult,Coping
2022-0101,2022,40-50,Manitoba,86200,5.5,No,No,N,No,Yes,NA,No,Difficult,Coping
2022-0102,2022,40-50,Alberta,"$30,000",0.8,No,No,No,Y,No,Difficult,Yes,Difficult,Stressed
2022-0104,2022,30-40,Ontario,30000,15.2,No,No,No,Yes,no,Difficult,N,Manageable,Coping
2022-0105,2022,40-50,ontario ,"$86,100",3.1,No,No,No,No,Yes,Neither,Yes,Neither,Stressed
2022-0106,2022,30-40,Ontario,"$99,200",14.6,No,Yes,No,No,No,Somewhat difficult,No,Manageable,Coping
2022-0107,2022,18-30,Alberta,69300,0.0,N,No,No,No,Yes,Neither,No,Very manageable,Stressed
2022-0108,2022,40-50,Alberta,"79,900",4.1,Yes,No,No,No,No,Difficult,Yes,Difficult,Stressed
2022-0109,2022,18-30,Alberta,"$70,700",26.2,N,No,No,No,yes,Neither,yes,Manageable,Comfortable
2022-0110,2022,18-30,Alberta,"$30,000",16.8,NA,NA,NA,NA,NA,Somewhat difficult,NA,Manageable,Comfortable
2022-0111,2022,18-30,Ontario,"72,500",6.0,yes,No,No,No,No,NA,No,Neither,Coping
2022-0112,2022,40-50,AB,"$97,400",7.1,NA,NA,NA,NA,NA,Somewhat difficult,Yes,Difficult,Coping
2022-0113,2022,30-40,Ontario,43500,0.0,No,No,No,Yes,No,Neither,No,Neither,Comfortable
2022-0114,2022,18-30,Alberta,"$70,400",0.9,No,No,No,N,Y,Difficult,No,Neither,Stressed
2022-0115,2022,30-40,Alberta,95600,17.3,N,No,No,No,Y,Somewhat difficult,Yes,Neither,Coping
2022-0116,2022,50-65,Alberta,102700,3.1,No,No,Yes,No,no,NA,No,Difficult,Stressed
2022-0117,2022,30-40,Ontario,203600,8.2,no,Yes,No,No,No,Neither,No,Difficult,Coping
2022-0118,2022,30-40,Ontario,"$80,000",1.7,Yes,No,No,no,No,NA,Yes,Manageable,Comfortable
2022-0119,2022,50-65,ON,95500,6.6,No,No,No,Yes,No,Neither,No,Manageable,Comfortable
2022-0120,2022,40-50,Alberta,NA,NA,No,No,Y,No,No,Very difficult,No,Manageable,Comfortable
2022-0121,2022,50-65,Ontario,"$59,500",14.7,No,No,No,No,Yes,Neither,No,Very difficult,Coping
2022-0122,2022,18-30,Ontario,91300,3.2,No,No,No,N,Yes,Difficult,yes,Difficult,Coping
2022-0123,2022,50-65,British Columbia,"$87,200",13.6,No,No,Yes,No,N,Difficult,no,NA,Comfortable
2022-0124,2022,40-50,Alberta,73600,10.8,No,No,no,No,Yes,Difficult,No,Manageable,Coping
2022-0125,2022,65+,Alberta,108100,3.8,No,No,No,No,Y,Somewhat difficult,No,Very difficult,Coping
