respondent_id,year,age,province,income,savings_pct,benefits_preference,paycheque_delay_difficulty,debt_overwhelmed,emergency_fund_likelihood,financial_wellness_cluster
2017-0001,2017,31,Alberta,78300,21.6,More time off,Manageable,No,Somewhat difficult,Comfortable
2017-0002,2017,51,Newfoundland and Labrador,149500,21.8,Educational funding,Somewhat difficult,No,Neither,Coping
2017-0003,2017,40,Manitoba,97700,8.2,Health benefits,Somewhat manageable,No,Somewhat difficult,Comfortable
2017-0004,2017,37,Ontario,102300,13.7,Higher wages,Somewhat difficult,No,Very manageable,Coping
2017-0005,2017,39,British Columbia,118600,7.8,Health benefits,Somewhat manageable,No,Somewhat difficult,Stressed
2017-0006,2017,43,Alberta,54400,16.9,Health benefits,Somewhat difficult,No,Manageable,Comfortable
2017-0007,2017,47,Ontario,118100,30,Higher wages,Difficult,No,Neither,Comfortable
2017-0008,2017,28,Manitoba,58200,21.5,Higher wages,Somewhat manageable,No,Somewhat manageable,Comfortable
2017-0009,2017,28,Ontario,30000,6,NA,Neither,No,Very manageable,Stressed
2017-0010,2017,53,Alberta,40700,14.2,Better retirement funding,Somewhat manageable,No,Neither,Coping
2017-0011,2017,35,Alberta,47000,2,Higher wages,Somewhat manageable,Yes,Very difficult,Coping
2017-0012,2017,23,British Columbia,75400,16.7,Educational funding,Manageable,No,Neither,Comfortable
2017-0013,2017,45,Nova Scotia,95900,19.9,Health benefits,Difficult,Yes,Very manageable,Coping
2017-0014,2017,46,Manitoba,99500,17.6,Work-life balance,Very manageable,No,Very manageable,Comfortable
2017-0015,2017,22,Ontario,116500,9,Educational funding,Somewhat difficult,No,Somewhat difficult,Coping
2017-0016,2017,43,Manitoba,51400,14.5,More time off,Very difficult,No,Neither,Stressed
2017-0017,2017,49,Ontario,97700,22,Higher wages,Somewhat manageable,No,Difficult,Coping
2017-0018,2017,44,Ontario,100100,10.6,Better retirement funding,Very difficult,Yes,Neither,Stressed
2017-0019,2017,48,Alberta,74900,18.8,Work-life balance,Neither,No,Somewhat difficult,Comfortable
2017-0020,2017,23,Ontario,60300,12.6,Higher wages,Manageable,No,Manageable,Coping
2017-0021,2017,44,British Columbia,43000,16.4,Work-life balance,Manageable,No,Very manageable,Comfortable
2017-0022,2017,36,New Brunswick,121300,8,Higher wages,Somewhat difficult,No,Somewhat difficult,Coping
2017-0023,2017,34,Alberta,55600,14.7,Work-life balance,Manageable,No,Somewhat manageable,Comfortable
2017-0024,2017,50,Ontario,160900,17.7,Better retirement funding,Very manageable,No,Somewhat difficult,Comfortable
2017-0025,2017,58,Saskatchewan,111000,14.8,Health benefits,Somewhat difficult,No,Somewhat manageable,Comfortable
2017-0026,2017,62,Alberta,148800,0.2,More time off,Difficult,No,Very difficult,Stressed
2017-0027,2017,56,Ontario,107400,15.3,Educational funding,Somewhat manageable,No,Somewhat difficult,Coping
2017-0028,2017,39,Ontario,82600,9.2,Health benefits,Somewhat difficult,No,Very manageable,Stressed
2017-0029,2017,44,British Columbia,73500,16.5,NA,Manageable,No,Very difficult,Stressed
2017-0030,2017,49,Ontario,102100,10,More time off,Neither,No,Manageable,Coping
2017-0031,2017,41,Ontario,96000,15.8,Work-life balance,Difficult,No,Difficult,Coping
2017-0032,2017,42,Quebec,64500,24.2,More time off,Manageable,No,Somewhat manageable,Comfortable
2017-0033,2017,50,Saskatchewan,96200,12.5,Work-life balance,Somewhat manageable,Yes,Neither,Coping
2017-0034,2017,39,Alberta,65200,18.5,Work-life balance,Somewhat difficult,Yes,Very manageable,Coping
2017-0035,2017,31,Nova Scotia,140500,18.7,More time off,Somewhat manageable,No,Somewhat difficult,Coping
2017-0036,2017,35,Ontario,74800,9.6,Health benefits,Difficult,Yes,Difficult,Stressed
2017-0037,2017,48,Alberta,143400,6.7,Better retirement funding,Neither,No,Neither,Stressed
2017-0038,2017,40,British Columbia,79100,11.9,More time off,Manageable,Yes,Somewhat manageable,Coping
2017-0039,2017,44,Yukon,98800,1.2,Work-life balance,Somewhat difficult,Yes,Neither,Stressed
2017-0040,2017,48,Alberta,57400,9.2,Higher wages,Very manageable,Yes,Very difficult,Coping
2017-0041,2017,36,Nova Scotia,65600,10.3,Educational funding,Very manageable,No,Somewhat difficult,Coping
2017-0042,2017,49,Ontario,104800,14.1,Health benefits,Neither,No,Very manageable,Comfortable
2017-0043,2017,45,British Columbia,140100,16.6,Higher wages,Neither,No,Somewhat manageable,Coping
2017-0044,2017,25,Ontario,69200,21.2,Work-life balance,Somewhat manageable,Yes,Somewhat manageable,Coping
2017-0045,2017,57,Saskatchewan,152000,15.6,Better retirement funding,Neither,No,Neither,Comfortable
2017-0046,2017,34,Ontario,95200,24,More time off,Manageable,No,Neither,Comfortable
2017-0047,2017,20,Alberta,103800,7.8,Work-life balance,Neither,No,Very manageable,Coping
2017-0048,2017,27,Alberta,63700,6.5,Work-life balance,Manageable,No,Neither,Stressed
2017-0049,2017,28,Saskatchewan,138700,9.9,Better retirement funding,Neither,No,Difficult,Coping
2017-0050,2017,41,British Columbia,71900,11,Work-life balance,Neither,No,Manageable,Stressed
2017-0051,2017,37,Ontario,57500,4.6,More time off,Somewhat difficult,No,Neither,Stressed
2017-0052,2017,36,Alberta,42700,13.1,Work-life balance,Difficult,No,Somewhat difficult,Stressed
2017-0053,2017,47,New Brunswick,165400,20.3,Better retirement funding,Very manageable,No,Somewhat manageable,Comfortable
2017-0054,2017,44,Quebec,115600,10.1,Higher wages,Very difficult,No,Somewhat manageable,Coping
2017-0055,2017,44,Ontario,81000,6.5,More time off,Difficult,No,Neither,Coping
2017-0056,2017,45,Saskatchewan,130000,23.8,Health benefits,Manageable,Yes,Manageable,Comfortable
2017-0057,2017,47,British Columbia,116100,19.4,Higher wages,Somewhat manageable,No,Somewhat manageable,Coping
2017-0058,2017,18,Ontario,111000,15.6,More time off,Neither,No,Somewhat difficult,Coping
2017-0059,2017,36,Ontario,32600,19.2,More time off,Very difficult,Yes,Manageable,Stressed
2017-0060,2017,18,Nova Scotia,44000,15.1,Better retirement funding,Difficult,No,Somewhat difficult,Stressed
2017-0061,2017,40,British Columbia,71100,12.2,Higher wages,Somewhat difficult,No,Neither,Coping
2017-0062,2017,40,Ontario,30000,12.1,Educational funding,Very difficult,No,Somewhat manageable,Coping
2017-0063,2017,53,Manitoba,136300,16.8,Work-life balance,Somewhat manageable,No,Somewhat manageable,Coping
2017-0064,2017,54,Ontario,97900,16.1,NA,Neither,No,Somewhat manageable,Comfortable
2017-0065,2017,42,Saskatchewan,110200,21,Health benefits,Neither,No,Somewhat manageable,Coping
2017-0066,2017,34,Alberta,146800,16.2,Educational funding,Somewhat manageable,No,Manageable,Coping
2017-0067,2017,46,British Columbia,83400,15.5,Educational funding,Somewhat manageable,Yes,Manageable,Coping
2017-0068,2017,34,Alberta,63400,18.1,Higher wages,Neither,No,Manageable,Coping
2017-0069,2017,40,Manitoba,88600,16.6,Work-life balance,Difficult,No,Difficult,Stressed
2017-0070,2017,52,British Columbia,132600,15,Health benefits,Somewhat difficult,No,Neither,Coping
2017-0071,2017,33,Ontario,57500,7.4,Better retirement funding,Manageable,Yes,Neither,Stressed
2017-0072,2017,50,Alberta,81100,23.1,Better retirement funding,Somewhat difficult,Yes,Very difficult,Coping
2017-0073,2017,48,Ontario,128700,28.8,Educational funding,Somewhat manageable,No,Manageable,Comfortable
2017-0074,2017,29,British Columbia,79900,6.4,Work-life balance,Somewhat difficult,Yes,Somewhat difficult,Stressed
2017-0075,2017,52,British Columbia,41700,8,Higher wages,Difficult,No,Difficult,Stressed
2017-0076,2017,48,British Columbia,60200,9,More time off,Difficult,No,Difficult,Stressed
2017-0077,2017,41,Ontario,131500,9.8,Health benefits,Very difficult,No,Difficult,Stressed
2017-0078,2017,31,Ontario,83600,5.9,Work-life balance,Somewhat manageable,Yes,Neither,Coping
2017-0079,2017,30,Manitoba,47100,4.7,Health benefits,Somewhat manageable,No,Somewhat manageable,Coping
2017-0080,2017,34,Ontario,70900,15.8,Work-life balance,Very manageable,No,Manageable,Comfortable
2017-0081,2017,47,Ontario,95900,8.2,Work-life balance,Manageable,No,Somewhat difficult,Coping
2017-0082,2017,29,British Columbia,90600,10.1,Higher wages,Neither,No,Somewhat difficult,Coping
2017-0083,2017,45,Quebec,51800,26.4,Work-life balance,Very manageable,No,Very manageable,Comfortable
2017-0084,2017,25,British Columbia,37300,7.2,Health benefits,Neither,No,Very difficult,Stressed
2017-0085,2017,38,Alberta,90200,9,Work-life balance,Neither,No,Somewhat difficult,Stressed
2017-0086,2017,41,Ontario,83500,1.9,Better retirement funding,Neither,No,Somewhat difficult,Stressed
2017-0087,2017,65,Alberta,139700,11.2,Health benefits,Neither,No,Somewhat manageable,Coping
2017-0088,2017,23,British Columbia,30000,17.5,Educational funding,Neither,No,Manageable,Coping
2017-0089,2017,58,Ontario,122700,11,Better retirement funding,Somewhat difficult,No,Neither,Stressed
2017-0090,2017,42,Alberta,120700,9.7,Better retirement funding,Difficult,No,Very manageable,Coping
2017-0091,2017,45,Ontario,107100,8.8,Health benefits,Somewhat difficult,No,Somewhat manageable,Stressed
2017-0092,2017,41,Saskatchewan,90700,27.2,More time off,Difficult,No,Somewhat difficult,Coping
2017-0093,2017,45,Ontario,89600,13.9,Higher wages,Very difficult,Yes,Somewhat difficult,Coping
2017-0094,2017,38,Ontario,57000,9.8,Health benefits,Very manageable,Yes,Neither,Coping
2017-0095,2017,57,Ontario,108300,13,NA,Somewhat manageable,No,Neither,Coping
2017-0096,2017,35,Yukon,115300,14.6,Work-life balance,Somewhat manageable,No,Neither,Coping
2017-0097,2017,54,British Columbia,102400,13.1,Better retirement funding,Neither,No,Somewhat difficult,Coping
2017-0098,2017,32,Alberta,46300,7.8,Higher wages,Somewhat difficult,No,Difficult,Stressed
2017-0099,2017,39,Ontario,68700,0.8,Work-life balance,Somewhat manageable,No,Somewhat difficult,Stressed
2017-0100,2017,27,Ontario,71500,15.3,Work-life balance,Very manageable,No,Manageable,Comfortable
2017-0101,2017,45,Alberta,81300,21,Health benefits,Manageable,No,Manageable,Comfortable
2017-0102,2017,57,Ontario,125100,13,More time off,Neither,Yes,Very manageable,Coping
2017-0103,2017,39,Alberta,99200,5.2,Educational funding,Difficult,No,Difficult,Stressed
2017-0104,2017,38,Quebec,108700,20.8,Health benefits,Very manageable,Yes,Somewhat manageable,Comfortable
2017-0105,2017,27,British Columbia,108200,22.4,Work-life balance,Very manageable,No,Very manageable,Comfortable
2017-0106,2017,37,Alberta,110400,19.3,More time off,Neither,No,Somewhat manageable,Coping
2017-0107,2017,21,Alberta,30000,13.4,Work-life balance,Neither,No,Somewhat manageable,Coping
2017-0108,2017,29,British Columbia,41400,10,Better retirement funding,Somewhat difficult,No,Somewhat difficult,Stressed
2017-0109,2017,43,British Columbia,87200,5.3,Educational funding,Somewhat difficult,No,Very difficult,Stressed
2017-0110,2017,56,Alberta,95500,26,Better retirement funding,Very manageable,Yes,Very manageable,Comfortable
2017-0111,2017,65,British Columbia,88400,16.3,Better retirement funding,Somewhat manageable,Yes,Somewhat manageable,Coping
2017-0112,2017,33,Alberta,61200,12.3,Better retirement funding,Somewhat difficult,No,Neither,Stressed
2017-0113,2017,57,Manitoba,96300,18.3,Health benefits,Neither,No,Neither,Coping
2017-0114,2017,43,Manitoba,69300,17.5,Higher wages,Neither,No,Neither,Coping
2017-0115,2017,38,British Columbia,72500,7.5,Work-life balance,Very difficult,Yes,Difficult,Stressed
2017-0116,2017,45,British Columbia,127900,23.7,Health benefits,Manageable,No,Manageable,Comfortable
2017-0117,2017,41,Alberta,92500,29.4,Better retirement funding,Very manageable,No,Somewhat manageable,Comfortable
2017-0118,2017,41,Alberta,160700,10.1,Work-life balance,Somewhat manageable,No,Very difficult,Coping
2017-0119,2017,35,British Columbia,82600,10.2,Better retirement funding,Somewhat difficult,Yes,Neither,Coping
2017-0120,2017,23,Ontario,50800,15.1,Work-life balance,Somewhat manageable,No,Very manageable,Coping
2017-0121,2017,21,Yukon,56600,16.5,Better retirement funding,Somewhat manageable,No,Neither,Coping
2017-0122,2017,48,Quebec,104700,9.1,More time off,Neither,No,Neither,Coping
2017-0123,2017,37,Ontario,93600,7.6,Work-life balance,Somewhat difficult,Yes,Neither,Stressed
2017-0124,2017,33,Ontario,136800,13.4,More time off,Somewhat manageable,No,Manageable,Coping
2017-0125,2017,40,British Columbia,59600,0,More time off,Neither,No,Neither,Stressed
2017-0126,2017,50,Ontario,125800,12.7,Higher wages,Somewhat difficult,No,Manageable,Coping
2017-0127,2017,42,Ontario,94200,13.1,Educational funding,Somewhat difficult,No,Difficult,Coping
2017-0128,2017,32,Ontario,30000,7.2,Work-life balance,Somewhat difficult,No,Manageable,Stressed
2017-0129,2017,55,Quebec,130600,15.1,Work-life balance,Very difficult,No,Manageable,Stressed
2017-0130,2017,59,New Brunswick,151500,6.7,NA,Neither,No,Neither,Coping
2017-0131,2017,46,Ontario,68300,3.9,Higher wages,Neither,Yes,Neither,Stressed
2017-0132,2017,52,Ontario,102700,3.7,Educational funding,Neither,No,Neither,Comfortable
2017-0133,2017,55,British Columbia,55700,11.1,More time off,Neither,No,Neither,Coping
2017-0134,2017,54,Quebec,68200,11.6,Health benefits,Very manageable,No,Somewhat difficult,Coping
2017-0135,2017,47,Alberta,126900,10.9,Health benefits,Somewhat manageable,No,Very difficult,Coping
2017-0136,2017,47,Yukon,81500,13.5,Educational funding,Somewhat difficult,No,Very manageable,Stressed
2017-0137,2017,46,Ontario,60700,28,Educational funding,Manageable,Yes,Neither,Comfortable
2017-0138,2017,27,Alberta,72400,14.5,Higher wages,Somewhat difficult,No,Somewhat manageable,Coping
2017-0139,2017,48,Ontario,81300,19.4,Educational funding,Neither,No,Neither,Comfortable
2017-0140,2017,24,Alberta,46900,13.1,Better retirement funding,Neither,No,Somewhat difficult,Stressed
2017-0141,2017,30,Ontario,92200,13.9,Better retirement funding,Neither,No,Neither,Coping
2017-0142,2017,56,Ontario,74100,9.1,Work-life balance,Neither,Yes,Neither,Coping
2017-0143,2017,50,Ontario,72800,10,Better retirement funding,Somewhat difficult,No,Manageable,Comfortable
2017-0144,2017,58,Ontario,116600,11.4,Better retirement funding,Manageable,No,Very manageable,Coping
2017-0145,2017,37,Alberta,109600,18.5,Higher wages,Difficult,No,Neither,Coping
